account number,ward,license number,legal name,address,zip code
406944,42,2818099,"GERMAN AMERICAN EVENTS, LLC",150 N MICHIGAN AVE 35TH,60601
337918,42,2818166,THE NOBLE GRAPE CORPORATION,50 W WASHINGTON ST,60602
385905,44,2822280,Patrick Markham,3252 N BROADWAY,60657
385905,47,2822276,Patrick Markham,4560 N LINCOLN AVE,60625
385905,1,2822277,Patrick Markham,2439 W FULLERTON AVE,60647
385905,32,2822279,Patrick Markham,3149 N WOLCOTT AVE,60657
385905,27,2822278,Patrick Markham,415 N ASHLAND AVE,60622
330934,40,2822715,CHICAGO FAIR TRADE,5228 N CLARK ST,60640
479206,26,2812708,SHADDAIISH LLC,2559 W DIVISION ST,60622
370467,27,2797258,"GEB, LLC",832-900 W RANDOLPH ST,60607
388052,32,2817547,"THE LEAVITT STREET TAVERN, LLC",2345 N LEAVITT ST,60647
324836,8,2814041,PETER MELIS,9358 S STONY ISLAND AVE,60617
379080,42,2796914,CLARK LOFT LLC,511-521 N CLARK ST 1,60654
427654,42,2796913,441 CLARK RESTAURANT LLC,441 N CLARK ST,60654
404456,42,2796912,CLARK ILLINOIS LLC,501-509 N CLARK ST,60654
10678,40,2796989,D C HENNING INC,2535-2537 W PETERSON AVE 1,60659
423178,42,2797082,TS7 HOSPITALITY LLC,400-406 N CLARK ST,60654
366625,42,2797140,RIVER NORTH ITALIAN LLC,501-521 N CLARK ST 1,60654
3222,43,2797137,"GABE'S PLACE, INC.",2024-2028 N HALSTED ST,60614
63548,42,2797226,WASHINGTON SQUARE LIQUORS INC,414-420 N CLARK ST,60654
405793,42,2797445,"TINY LOUNGE ON THE RIVERWALK, L.L.C.",55 W RIVERWALK   SOUTH,60601
356957,4,2797578,"HAROLD'S ON WABASH, INC.",612 S WABASH AVE 1ST,60605
357515,42,2808427,ROKA AKOR CHICAGO LLC,440-450 N CLARK ST,60654
381123,27,2803834,720 SUSHI MIKE's LLC,720 W RANDOLPH ST 1,60661
